experience,skills_score,aptitude_score,coding_speed_sec,sys_design_score,hire
6,31,83,778,8,1
3,49,87,2068,8,1
12,89,98,1018,4,1
10,61,56,1967,9,1
7,33,88,2511,5,1
12,24,84,1900,2,1
4,55,57,1544,5,1
6,78,61,1779,3,1
9,76,35,2923,6,1
2,79,94,1937,8,1
6,97,81,3161,2,1
10,82,72,1906,4,1
10,68,40,3046,1,1
7,84,50,1170,2,1
4,71,54,2313,1,1
3,28,43,1145,1,0
7,35,57,2710,1,0
7,54,70,3389,5,1
2,93,40,962,3,1
5,35,38,3163,10,1
4,52,48,2019,8,1
1,70,53,227,9,1
7,80,75,599,7,1
11,98,70,2537,7,1
5,78,71,1773,3,1
1,91,78,741,9,1
11,23,31,1813,2,1
4,21,87,1891,6,1
0,90,97,1206,4,1
11,77,81,2657,5,1
9,81,60,3129,5,1
5,44,98,1756,7,1
12,90,33,1480,1,1
11,44,81,2819,4,1
8,85,32,2446,3,1
0,45,63,2031,5,1
10,74,99,2060,8,1
10,22,55,2992,8,1
9,65,85,2160,2,1
11,48,49,3572,6,1
11,77,73,1916,10,1
2,30,45,3152,8,0
11,40,94,2946,4,1
6,62,60,229,3,1
3,23,57,235,4,1
8,88,67,3132,7,1
2,89,51,376,6,1
4,41,38,157,2,1
2,25,54,3513,2,0
6,97,65,2939,5,1
4,41,76,890,3,1
8,35,59,3368,10,1
6,55,66,1475,5,1
1,69,96,2245,9,1
3,77,74,1875,10,1
8,90,30,587,2,1
11,70,97,1803,10,1
1,97,42,2190,4,1
9,66,50,1748,5,1
8,72,69,906,6,1
9,25,61,2182,6,1
4,44,30,2952,1,0
1,22,50,2939,8,0
3,32,38,723,2,0
11,72,81,1717,3,1
11,86,76,2294,8,1
6,50,65,381,7,1
11,86,38,2845,5,1
12,100,71,1322,4,1
7,74,90,3355,2,1
2,85,96,3042,5,1
0,24,31,1079,8,0
3,28,89,2633,10,1
1,48,39,1477,7,1
7,54,77,1001,9,1
3,54,33,3579,5,0
1,69,51,1160,10,1
5,49,78,3268,6,1
5,34,60,903,7,1
9,48,71,1866,10,1
3,44,89,687,7,1
5,94,61,3156,10,1
12,76,63,1497,6,1
1,70,46,1325,3,1
9,87,89,1345,2,1
11,77,49,959,8,1
1,31,93,262,3,1
9,88,77,2208,3,1
3,56,93,1115,4,1
7,44,42,1765,3,1
6,87,54,1013,4,1
11,43,50,340,7,1
8,55,68,1839,6,1
7,21,75,190,8,1
4,54,79,3077,7,1
12,27,44,3007,3,1
1,92,38,2933,4,0
4,47,75,1188,3,1
7,79,52,2997,3,1
9,73,64,2970,1,1
8,63,61,3317,2,1
11,29,32,1418,3,1
11,24,41,1724,10,1
11,66,90,1810,4,1
12,50,54,3583,4,1
8,48,97,2423,4,1
12,22,30,1926,2,1
12,45,62,423,10,1
0,21,84,1808,6,0
8,98,78,2035,10,1
6,96,78,1618,10,1
8,75,37,2722,2,1
7,33,91,2454,8,1
0,95,92,859,4,1
11,34,97,385,6,1
7,64,60,1608,5,1
7,66,96,706,2,1
10,39,75,1155,10,1
2,37,76,3213,1,0
0,98,36,2202,2,1
7,80,39,3253,10,1
2,95,68,962,6,1
2,24,100,1043,3,1
0,77,79,157,8,1
10,100,33,3562,10,1
4,96,94,3325,5,1
9,79,53,2576,2,1
6,32,50,2583,1,0
9,99,67,2347,6,1
8,59,35,3114,2,1
11,86,58,2849,3,1
6,71,84,1614,9,1
8,21,95,738,9,1
7,72,67,1665,10,1
11,86,76,2854,8,1
1,30,41,3183,1,0
0,30,46,548,8,0
6,29,55,1935,8,1
6,47,74,3479,3,1
7,30,55,266,6,1
4,26,50,3095,7,1
2,48,73,2618,6,1
11,84,71,2067,1,1
7,71,64,2643,6,1
5,34,45,2261,6,1
10,26,42,3051,6,1
2,87,66,1886,4,1
0,74,91,2135,6,1
2,22,100,3122,7,1
4,39,61,550,8,1
2,22,87,131,9,1
0,48,31,1128,2,0
4,39,77,2166,8,1
9,29,83,2638,7,1
6,80,94,652,7,1
6,56,74,379,6,1
10,70,64,1960,5,1
8,61,62,542,5,1
9,92,51,534,2,1
9,94,75,1954,4,1
11,49,51,2919,9,1
12,64,36,3408,6,1
2,43,91,2148,4,1
6,50,72,2285,10,1
0,42,83,1176,9,1
3,72,36,2595,9,1
12,61,84,3593,6,1
3,55,33,1068,4,1
4,53,52,3220,7,1
6,45,70,2682,2,1
6,90,100,782,6,1
12,44,76,142,9,1
10,22,86,1473,10,1
12,62,74,2270,8,1
3,25,95,2672,8,1
12,73,90,1897,5,1
6,71,46,728,3,1
10,32,53,2110,1,1
2,85,76,916,8,1
5,75,74,1564,10,1
11,66,88,931,3,1
1,96,64,2476,9,1
9,84,94,1086,3,1
12,85,48,3320,7,1
